No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
2,0.935541765210651,0.064458234789349,Active,Active
35,0.927539647113849,0.072460352886151,Active,Active
0,0.925177785335319,0.074822214664681,Active,Active
5,0.919070296267626,0.080929703732374,Active,Active
3,0.915649200345598,0.084350799654402,Active,Active
19,0.889795394330618,0.110204605669382,Active,Active
33,0.880623724661911,0.119376275338089,Active,Active
24,0.851436406255298,0.148563593744702,Active,Active
12,0.847701300693442,0.152298699306558,Active,Active
4,0.824420261113815,0.175579738886185,Active,Active
15,0.820941473689053,0.179058526310947,Active,Active
9,0.814732607687268,0.185267392312732,Active,Active
32,0.807518709701805,0.192481290298195,Active,Active
21,0.783443234560994,0.216556765439006,Active,Active
17,0.781956386523382,0.218043613476618,Active,Active
36,0.768820069640512,0.231179930359488,Active,Active
22,0.764712873018036,0.235287126981964,Active,Active
25,0.759936904605516,0.240063095394484,Active,Active
28,0.747238701866662,0.252761298133338,Active,Active
16,0.691954228690897,0.308045771309103,Inactive,Active
6,0.68247544919434,0.31752455080566,Inactive,Active
8,0.670932632743664,0.329067367256336,Inactive,Active
13,0.656518815747437,0.343481184252563,Inactive,Active
10,0.65487054176822,0.34512945823178,Inactive,Active
27,0.641354073456684,0.358645926543316,Inactive,Active
26,0.630069369810303,0.369930630189697,Inactive,Active
34,0.619891974578634,0.380108025421366,Inactive,Active
11,0.586369698087823,0.413630301912178,Inactive,Active
14,0.585430852712731,0.414569147287269,Inactive,Active
31,0.453094100036344,0.546905899963656,Inactive,Active
1,0.39787663690746,0.60212336309254,Inactive,Active
7,0.373890054599695,0.626109945400304,Inactive,Active
18,0.272828126680417,0.727171873319583,Inactive,Active
29,0.220074844098346,0.779925155901654,Inactive,Active
38,0.15439312824789,0.84560687175211,Inactive,Active
23,0.141198986163547,0.858801013836452,Inactive,Active
867,0.122225945774629,0.877774054225371,Inactive,Inactive
20,0.103349420972383,0.896650579027617,Inactive,Active
30,0.088036307097424,0.911963692902576,Inactive,Active
149,0.08414507754868,0.91585492245132,Inactive,Inactive
429,0.083278705709914,0.916721294290086,Inactive,Inactive
211,0.081519863899966,0.918480136100034,Inactive,Inactive
297,0.080280567345436,0.919719432654564,Inactive,Inactive
1045,0.077767921868159,0.922232078131841,Inactive,Inactive
222,0.074868341867014,0.925131658132986,Inactive,Inactive
993,0.073611856888925,0.926388143111074,Inactive,Inactive
615,0.07269305118637,0.92730694881363,Inactive,Inactive
1205,0.07199052360309,0.92800947639691,Inactive,Inactive
409,0.069876802445098,0.930123197554902,Inactive,Inactive
61,0.066527081479594,0.933472918520406,Inactive,Inactive
79,0.066431649648441,0.933568350351559,Inactive,Inactive
1210,0.066306621969278,0.933693378030723,Inactive,Inactive
225,0.064830674921359,0.935169325078641,Inactive,Inactive
1218,0.064811944188171,0.93518805581183,Inactive,Inactive
852,0.063843006934878,0.936156993065123,Inactive,Inactive
121,0.063670285919396,0.936329714080604,Inactive,Inactive
730,0.063506992586978,0.936493007413021,Inactive,Inactive
999,0.063390632099492,0.936609367900508,Inactive,Inactive
1018,0.06292067961225,0.93707932038775,Inactive,Inactive
1222,0.060522377655297,0.939477622344703,Inactive,Inactive
953,0.060471731652316,0.939528268347684,Inactive,Inactive
520,0.060424803956608,0.939575196043392,Inactive,Inactive
393,0.060338749770972,0.939661250229028,Inactive,Inactive
371,0.060176547662798,0.939823452337201,Inactive,Inactive
1195,0.059769040369244,0.940230959630756,Inactive,Inactive
227,0.059386622099094,0.940613377900906,Inactive,Inactive
231,0.058969200241459,0.94103079975854,Inactive,Inactive
1014,0.058605278537333,0.941394721462666,Inactive,Inactive
979,0.05853310017501,0.941466899824989,Inactive,Inactive
419,0.057415133992635,0.942584866007365,Inactive,Inactive
605,0.057152914306963,0.942847085693037,Inactive,Inactive
143,0.056631724733314,0.943368275266686,Inactive,Inactive
865,0.056478127783318,0.943521872216682,Inactive,Inactive
226,0.056244620451224,0.943755379548776,Inactive,Inactive
1190,0.056183308981887,0.943816691018113,Inactive,Inactive
88,0.055592070145576,0.944407929854424,Inactive,Inactive
868,0.05525542882202,0.94474457117798,Inactive,Inactive
798,0.055234159746251,0.94476584025375,Inactive,Inactive
807,0.05507115016493,0.94492884983507,Inactive,Inactive
795,0.055001209486245,0.944998790513755,Inactive,Inactive
1107,0.054968651926922,0.945031348073078,Inactive,Inactive
101,0.054892346484088,0.945107653515911,Inactive,Inactive
759,0.054868116958717,0.945131883041284,Inactive,Inactive
324,0.054816881104614,0.945183118895386,Inactive,Inactive
509,0.05463327359803,0.94536672640197,Inactive,Inactive
