No.,Active_Prob,Predicted_Class,Real_Class
0,1,Active,Active
2,1,Active,Active
3,1,Active,Active
4,1,Active,Active
5,1,Active,Active
6,1,Active,Active
8,1,Active,Active
9,1,Active,Active
10,1,Active,Active
12,1,Active,Active
13,1,Active,Active
14,1,Active,Active
15,1,Active,Active
16,1,Active,Active
17,1,Active,Active
19,1,Active,Active
21,1,Active,Active
22,1,Active,Active
24,1,Active,Active
25,1,Active,Active
26,1,Active,Active
27,1,Active,Active
30,1,Active,Active
31,1,Active,Active
32,1,Active,Active
33,1,Active,Active
35,1,Active,Active
36,1,Active,Active
89,1,Active,Inactive
201,1,Active,Inactive
210,1,Active,Inactive
993,1,Active,Inactive
1045,1,Active,Inactive
712,0.9999999,Active,Inactive
11,0.9999994,Active,Active
28,0.9999992,Active,Active
1165,0.9999989,Active,Inactive
227,0.99999684,Active,Inactive
189,0.99997383,Active,Inactive
810,0.9999603,Active,Inactive
34,0.99992514,Active,Active
419,0.99991906,Active,Inactive
429,0.9998795,Active,Inactive
438,0.99985254,Active,Inactive
514,0.99982643,Active,Inactive
525,0.99958134,Active,Inactive
741,0.99932957,Active,Inactive
231,0.9993139,Active,Inactive
29,0.9991506,Active,Active
720,0.9990214,Active,Inactive
439,0.9972901,Active,Inactive
782,0.99588466,Active,Inactive
729,0.99458206,Active,Inactive
815,0.9944377,Active,Inactive
759,0.9926914,Active,Inactive
430,0.991748,Active,Inactive
23,0.99161744,Active,Active
154,0.98949766,Active,Inactive
85,0.9888799,Active,Inactive
869,0.98706114,Active,Inactive
1014,0.9866233,Active,Inactive
1059,0.9844239,Active,Inactive
445,0.98179877,Active,Inactive
941,0.9592133,Active,Inactive
890,0.9591532,Active,Inactive
717,0.9362772,Active,Inactive
951,0.92748404,Active,Inactive
1129,0.9217443,Active,Inactive
870,0.8977263,Active,Inactive
1100,0.8929374,Active,Inactive
1160,0.8929352,Active,Inactive
918,0.88639987,Active,Inactive
1021,0.8678416,Active,Inactive
134,0.8426507,Active,Inactive
1008,0.81877184,Active,Inactive
790,0.6626259,Active,Inactive
932,0.57418567,Active,Inactive
1,0.56371176,Active,Active
470,0.43436033,Inactive,Inactive
7,0.4169162,Inactive,Active
195,0.4086057,Inactive,Inactive
192,0.34583437,Inactive,Inactive
278,0.18614894,Inactive,Inactive
807,0.17400962,Inactive,Inactive
840,0.14785191,Inactive,Inactive
1060,0.14396226,Inactive,Inactive
974,0.12609547,Inactive,Inactive
1117,0.10868943,Inactive,Inactive
334,0.103854746,Inactive,Inactive
357,0.063301325,Inactive,Inactive
944,0.055902302,Inactive,Inactive
1211,0.047094226,Inactive,Inactive
1156,0.037723035,Inactive,Inactive
464,0.035651088,Inactive,Inactive
955,0.030428648,Inactive,Inactive
230,0.022695124,Inactive,Inactive
864,0.019938618,Inactive,Inactive
94,0.016923934,Inactive,Inactive
827,0.01609832,Inactive,Inactive
157,0.015510678,Inactive,Inactive
619,0.010139525,Inactive,Inactive
738,0.009829223,Inactive,Inactive
477,0.009131879,Inactive,Inactive
696,0.008708209,Inactive,Inactive
889,0.008305937,Inactive,Inactive
1195,0.0077571273,Inactive,Inactive
150,0.0073010325,Inactive,Inactive
198,0.0061517656,Inactive,Inactive
1090,0.005972326,Inactive,Inactive
976,0.005366951,Inactive,Inactive
1102,0.0043453276,Inactive,Inactive
866,0.004283488,Inactive,Inactive
65,0.004079342,Inactive,Inactive
770,0.0035600364,Inactive,Inactive
320,0.0027843118,Inactive,Inactive
953,0.0023747087,Inactive,Inactive
744,0.0019274056,Inactive,Inactive
1187,0.0017382503,Inactive,Inactive
550,0.0017003417,Inactive,Inactive
1162,0.0015555024,Inactive,Inactive
617,0.001055181,Inactive,Inactive
222,0.0010331869,Inactive,Inactive
360,0.0009612739,Inactive,Inactive
229,0.0007017255,Inactive,Inactive
287,0.00066667795,Inactive,Inactive
626,0.00063955784,Inactive,Inactive
80,0.0005065799,Inactive,Inactive
566,0.0005055368,Inactive,Inactive
160,0.0005001724,Inactive,Inactive
425,0.0004826188,Inactive,Inactive
994,0.00039747357,Inactive,Inactive
409,0.00037902594,Inactive,Inactive
572,0.0003605187,Inactive,Inactive
885,0.00026765466,Inactive,Inactive
142,0.0002603531,Inactive,Inactive
219,0.00021082163,Inactive,Inactive
147,0.00017234683,Inactive,Inactive
308,0.0001616776,Inactive,Inactive
166,0.00014641881,Inactive,Inactive
682,0.00012719631,Inactive,Inactive
603,0.00011709349,Inactive,Inactive
1104,9.6657284E-05,Inactive,Inactive
933,8.925095E-05,Inactive,Inactive
411,7.2505514E-05,Inactive,Inactive
1174,6.43013E-05,Inactive,Inactive
1005,5.040592E-05,Inactive,Inactive
79,4.705357E-05,Inactive,Inactive
1052,3.5927318E-05,Inactive,Inactive
614,2.5485348E-05,Inactive,Inactive
522,1.8511744E-05,Inactive,Inactive
962,1.3692768E-05,Inactive,Inactive
400,1.1226431E-05,Inactive,Inactive
485,1.0643588E-05,Inactive,Inactive
299,9.718502E-06,Inactive,Inactive
316,7.4693626E-06,Inactive,Inactive
1234,7.3639335E-06,Inactive,Inactive
523,7.3279243E-06,Inactive,Inactive
98,7.3260867E-06,Inactive,Inactive
1168,7.0112987E-06,Inactive,Inactive
956,7.0054907E-06,Inactive,Inactive
121,6.4347273E-06,Inactive,Inactive
336,6.245209E-06,Inactive,Inactive
343,6.0005773E-06,Inactive,Inactive
156,5.0985764E-06,Inactive,Inactive
938,4.7271237E-06,Inactive,Inactive
618,4.1327667E-06,Inactive,Inactive
775,4.084233E-06,Inactive,Inactive
1206,3.9509105E-06,Inactive,Inactive
177,3.4954387E-06,Inactive,Inactive
1229,3.280847E-06,Inactive,Inactive
216,2.9364173E-06,Inactive,Inactive
753,2.81368E-06,Inactive,Inactive
1049,2.2864392E-06,Inactive,Inactive
908,1.9632503E-06,Inactive,Inactive
218,1.8600996E-06,Inactive,Inactive
140,1.6038672E-06,Inactive,Inactive
314,1.3083081E-06,Inactive,Inactive
977,1.2014816E-06,Inactive,Inactive
709,1.1964745E-06,Inactive,Inactive
913,1.0865149E-06,Inactive,Inactive
1070,1.0155645E-06,Inactive,Inactive
577,1.0129828E-06,Inactive,Inactive
867,9.974806E-07,Inactive,Inactive
199,9.241398E-07,Inactive,Inactive
392,8.467687E-07,Inactive,Inactive
1007,8.339636E-07,Inactive,Inactive
565,5.2296525E-07,Inactive,Inactive
1201,4.1172333E-07,Inactive,Inactive
381,3.954693E-07,Inactive,Inactive
545,3.494994E-07,Inactive,Inactive
510,3.3897717E-07,Inactive,Inactive
126,3.2877392E-07,Inactive,Inactive
290,3.2122435E-07,Inactive,Inactive
980,3.2033137E-07,Inactive,Inactive
1062,2.921026E-07,Inactive,Inactive
170,2.7205803E-07,Inactive,Inactive
47,2.4274217E-07,Inactive,Inactive
1178,2.3153476E-07,Inactive,Inactive
