No.,Active_Prob,Predicted_Class,Real_Class
6,1,Active,Active
12,1,Active,Active
13,1,Active,Active
18,1,Active,Active
26,1,Active,Active
28,1,Active,Active
29,1,Active,Active
35,1,Active,Active
36,1,Active,Active
2054,1,Active,Inactive
2055,1,Active,Inactive
32,0.9998439,Active,Active
101,0.9997096,Active,Inactive
8,0.99953395,Active,Active
5,0.9992522,Active,Active
1049,0.98660266,Active,Inactive
4,0.9865955,Active,Active
208,0.95452404,Active,Inactive
276,0.90124,Active,Inactive
1266,0.89795566,Active,Inactive
556,0.82032883,Active,Inactive
2100,0.052393526,Inactive,Inactive
10,0.041116983,Inactive,Active
974,0.019662559,Inactive,Inactive
918,0.016629577,Inactive,Inactive
1374,0.013516754,Inactive,Inactive
2020,0.0053941905,Inactive,Inactive
1264,0.0045939386,Inactive,Inactive
1363,0.0040403605,Inactive,Inactive
1341,0.0011298358,Inactive,Inactive
0,6.1150924E-05,Inactive,Active
7,2.516661E-05,Inactive,Active
1127,1.690517E-05,Inactive,Inactive
85,1.6329781E-05,Inactive,Inactive
943,6.5344266E-06,Inactive,Inactive
1788,5.3480135E-06,Inactive,Inactive
654,3.265704E-06,Inactive,Inactive
1104,1.4042349E-06,Inactive,Inactive
1865,9.179428E-07,Inactive,Inactive
1751,7.6889387E-07,Inactive,Inactive
1016,5.597067E-07,Inactive,Inactive
1958,5.0223673E-07,Inactive,Inactive
2,4.546366E-07,Inactive,Active
9,3.1660755E-07,Inactive,Active
329,2.481626E-07,Inactive,Inactive
248,1.0392409E-07,Inactive,Inactive
576,9.9093775E-08,Inactive,Inactive
976,9.496677E-08,Inactive,Inactive
1109,7.9183216E-08,Inactive,Inactive
892,6.072184E-08,Inactive,Inactive
2110,2.7918288E-08,Inactive,Inactive
27,2.7741159E-08,Inactive,Active
56,1.9937465E-08,Inactive,Inactive
997,1.0174927E-08,Inactive,Inactive
1438,5.1385034E-09,Inactive,Inactive
1000,3.6068204E-09,Inactive,Inactive
1448,2.8725544E-09,Inactive,Inactive
1632,2.31512E-09,Inactive,Inactive
1072,2.00995E-09,Inactive,Inactive
1663,1.7591252E-09,Inactive,Inactive
698,1.2856444E-09,Inactive,Inactive
851,6.023315E-10,Inactive,Inactive
1309,4.714589E-10,Inactive,Inactive
1,4.259463E-10,Inactive,Active
579,1.7237743E-10,Inactive,Inactive
681,1.6379181E-10,Inactive,Inactive
1492,1.5522708E-10,Inactive,Inactive
1074,1.1535145E-10,Inactive,Inactive
2002,7.200743E-11,Inactive,Inactive
1424,5.94329E-11,Inactive,Inactive
1022,4.7691507E-11,Inactive,Inactive
2070,4.7393443E-11,Inactive,Inactive
1435,4.298374E-11,Inactive,Inactive
467,3.5666733E-11,Inactive,Inactive
213,2.7173905E-11,Inactive,Inactive
1405,2.7119279E-11,Inactive,Inactive
518,1.9050287E-11,Inactive,Inactive
968,1.5521189E-11,Inactive,Inactive
1952,1.4584034E-11,Inactive,Inactive
279,1.4521028E-11,Inactive,Inactive
655,1.1363172E-11,Inactive,Inactive
921,1.1314878E-11,Inactive,Inactive
2121,1.0631047E-11,Inactive,Inactive
1536,1.0519103E-11,Inactive,Inactive
2062,1.0158835E-11,Inactive,Inactive
1744,8.5150385E-12,Inactive,Inactive
1010,7.85586E-12,Inactive,Inactive
1508,7.1271582E-12,Inactive,Inactive
2177,6.214746E-12,Inactive,Inactive
260,3.810413E-12,Inactive,Inactive
116,3.7836097E-12,Inactive,Inactive
252,2.8912172E-12,Inactive,Inactive
1709,1.946009E-12,Inactive,Inactive
1310,1.5573968E-12,Inactive,Inactive
266,8.0281913E-13,Inactive,Inactive
1233,5.726589E-13,Inactive,Inactive
1556,4.4316775E-13,Inactive,Inactive
349,4.2451898E-13,Inactive,Inactive
33,3.9852266E-13,Inactive,Active
160,2.7054257E-13,Inactive,Inactive
1537,2.1783119E-13,Inactive,Inactive
865,2.1032698E-13,Inactive,Inactive
206,1.9472111E-13,Inactive,Inactive
912,1.7015554E-13,Inactive,Inactive
407,1.3222061E-13,Inactive,Inactive
2141,1.2786256E-13,Inactive,Inactive
902,8.3251595E-14,Inactive,Inactive
1805,7.143891E-14,Inactive,Inactive
153,7.133189E-14,Inactive,Inactive
382,6.7178136E-14,Inactive,Inactive
1178,6.5264587E-14,Inactive,Inactive
1141,6.3853375E-14,Inactive,Inactive
2160,6.072142E-14,Inactive,Inactive
505,5.0910685E-14,Inactive,Inactive
1983,4.1734296E-14,Inactive,Inactive
678,3.8737083E-14,Inactive,Inactive
963,3.5591176E-14,Inactive,Inactive
1120,3.4267545E-14,Inactive,Inactive
783,3.2050897E-14,Inactive,Inactive
430,3.0751348E-14,Inactive,Inactive
